Problem,Class,Atributes,Relationship
"Online Rideshare System (ORS) allows users to manage road trips that are organized on a sharing basis. The users can be drivers or customers. Each user has a unique ID, email, and phone number. The system allows a driver to post trips. The trips can be direct trips or indirect trips (multiple stops). Each trip has a departure station, arrival station, number of seats, departure date, departure time, arrival time, and price. The customers can book seats until 2 hours before the departure time. The users can register for a membership package that includes rewards. These rewards can be in the form of cashback, discounts, or points.","User, Driver, Customer, Trip, Membership, Reward","User [ID, Email, Phone], Driver [Trips], Customer [Bookings], Trip [Departure, Arrival, Seats, Time, Price, Type], Membership [Package], Reward [Type] ","Driver and Trip, Customer and Trip, User and Membership, Membership and Reward"
"This system provides basic services to manage bank accounts at various banks. Banks can be of types - public and private. Also, each bank has a service category. The service category can be national or international. Each bank is composed of multiple branches. Each branch has multiple addresses such as temporary addresses and permanent addresses. In addition, a branch can be the main branch or an express branch. A user can be a customer or an employee. Each user has a name. A customer opens accounts at a branch. The customer can be a general customer or a VIP customer. Each account is uniquely identified by an account number across the bank. Furthermore, the account can be a checking account or savings account. It is possible to have a joint account (e.g. for a husband and wife). Each customer is assigned a particular employee as his or her 'personal banker'. An employee can be a teller, manager, or loan officer at a bank. Employees may work for multiple branches in a bank.","Bank, Branch, Address, User, Customer, Employee, Account","Bank [Type, Category], Branch [Type], Address [Address, Type], User [Name], Customer [Category], Employee [Position], Account [Number, Type]","Account and Customer, Employee and Customer, Bank and Branch, Account and Branch, Branch and Address, Employee and Branch"
"An automated library book borrowing system maintains a collection of books. Each book has title, barcode, ISBN, and number of pages. In addition, the system allows users to have either a member User or a guest User type. Each user has a name, email, address, and ID. A user can checkout a book on loan which has the start date and end date.","Book, User, Loan","Book [Title, Barcode, ISBN, Pages], User [Name, Email, Address, ID, Type], Loan [Start, End]","User and Book, User and Loan, Book and Loan"
"Online Art Gallery System allows artists to put their artwork on auction. Each artist has a name, phone number, ID, email, address and gender. To place artwork in an auction, each artist need a membership which can be of type - individual membership, agency membership, and agency affiliate memberships. Each membership has an ID, start date, end date, and reward points. An artist can have multiple artworks where each artwork has a title, description, category (painting, sculpture, and architecture), and price.","Artist, Membership, Artwork","Artist [Name, Phone, ID, Email, Address, Gender], Membership [Type, ID, Start, End, Points], Artwork [Title, Description, Category, Price]","Artist and Membership, Artist and Artwork, Membership and Artwork"
"A project management system assigns one or multiple projects to students. A student can be an undergraduate student or a graduate student. Each student has a name, email, student id and category. Furthermore, each project has a title, description, start date, deadline, and grade. These projects can be classified as research projects or course-based projects  type.","Student, Project","Student [Name, Email, ID, Category], Project [Title, Description, Start, Deadline, Grade, Type]",Student and Project
"A system used by map makers at the Government of Ootumlia contains information about various maps. Each map has a scale, and name. Each map also has information that defines the latitude and longitude of the top left corner of the map, and the height and width of the map in meters. A map includes several features where each feature has a name and feature type, which can be curve feature, point feature, or region feature.","Map, Feature","Map [Scale, Name, Information], Feature [Name, Type]",Map and Feature
"A small restaurant wants a new information system to store data for all meals consumed there and to keep a record of ingredients kept in stock. Each ingredient has a name, a measuring unit (e.g., olive oil is measured in litres, while eggs are unit based) and a quantity in stock. There are no two ingredients with the same name. Each dish is composed of several ingredients in a certain quantity. An ingredient can, of course, be used in different dishes. A dish has a unique name and an ID. There are several tables at the restaurant. Each table has an ID and a maximum capacity of people that can be seated there. In each meal, several dishes are consumed at a certain table. The same dish can be eaten more than once in the same meal. A meal takes place in a certain date and has a start and end time. Each meal has a responsible waiter. A waiter has an ID, a name, an address, and a phone number. In some cases, it is important to store information about the client that consumed the meal. A client has a tax identification number, a name, and an address.","Ingredient, Dish, Table, Meal, Waiter, Client","Ingredient [Name, Unit, Quantity], Dish [Name, ID], Table [ID, Capacity], Meal [Date, Start, End], Waiter [ID, Name, Address, Phone], Client [Tax, Name, Address]","Dish and Ingredient, Table and Meal, Meal and Dish, Waiter and Meal, Client and Meal"
"At the beginning of each semester, students may request a course catalogue containing a list of course offerings. Each student maintains a profile which comprises of student number, name, email, major, courses enrolled.  Information about each course, such as course code, course title, professor, department, and prerequisites, will be included to help students make informed decisions. The new online registration system will allow students to select four-course offerings for the coming semester. In addition, each student will indicate two choices in case a course offering becomes filled or cancelled. Each course offering will have at most ten students. No course offering will have fewer than three students. A course offering fewer than three students will be cancelled. Once the registration process is completed for a student, the registration system sends information to the billing system so the student can be billed for the semester. Professors must be able to access the online system to indicate which courses they will be teaching. They will also need to see which students signed up for their course offerings. For each semester, there is a period that students can change their schedules. Students must be able to access the online system during this time to add or drop courses. The billing system will credit all students for courses dropped during this period. At the end of the semester, the student can access the system to view an electronic report card. Since student grades are sensitive information, the system must employ extra security measures to prevent unauthorized access.","Student, Course, Professor, Offering, Semester, Billing, ReportCard","Student [Number, Name, Email, Major, Courses], Course [Code, Title, Professor, Department, Prerequisites], Professor [Department, Teaching], Offering [Course, Semester, Professor, Students, Capacity, Enrolment], Semester [StartDate, EndDate, Period], Billing [Amount, Status, Credits], ReportCard [StudentNumber, Semester, Grades, Comments]","Student and Offering, Student and Course, Course and Offering, Professor and Offering, Semester and Offering, Student and ReportCard, Student and Billing"
"Design the software to support a computerized banking network, including human cashiers and automatic teller machines ATMs to be shared by a consortium of banks. Each bank is identified by bank ID, name, address, and provides its computer to maintain its accounts and process transactions against them. Cashier stations are owned by individual banks and communicate directly with their own bank’s computer. Human cashiers enter account and transaction data. Automatic teller machines (ATM) communicate with a central computer which clears transactions with the appropriate banks. An automated teller machine accepts a cash card, interacts with the user, communicates with the central system to carry out the transaction, dispenses cash, and prints receipts. The system requires appropriate record-keeping and security provisions. The system must handle concurrent access to the same account correctly. The banks will provide their software for their computers; you are to design the software for the ATMs and the network. The cost of the shared system will be apportioned to the banks according to the number of customers with cash cards.","Bank, Computer, CashierStation, ATM, CentralComputer, Transaction, Account, User, Receipt","Bank [ID, Name, Address, Customers, Computers], CashierStation [Location, HumanCashier], ATM [BankID, CardReader, Receipts], CentralComputer [Transactions], Transaction [Type], Account [Type], Receipt [Transactions]","Bank and Computer, Bank and CashierStation, Bank and ATM, ATM and CentralComputer, Transaction and Account, ATM and Receipt, CashierStation and Transaction, CentralComputer and Bank"
"A furniture factory intends to implement an information system to store all data on the different types of furniture and components it produces: The factory produces several lines of furniture, each with a different name and consisting of several pieces of furniture of different types (beds, tables, chairs, etc.). All furniture pieces have a type, a single reference (e.g., CC6578) and a selling price. Each piece of furniture is composed of several components. The same component can be used more than once in the same piece. Every type of component produced is assigned a unique numerical code, a manufacturing price, and a type (screw, hinge, shelf, etc.). The furniture is then sold in various stores throughout the world. Each store has a different address and a fax number. To make the manufacturing process more efficient, stores must place orders every time they need to replenish their stock. These orders must also be stored in the database. Each order has an order number, a date, the store that placed the order as well as a list of all the ordered furniture and their quantities.","Factory, Lines, Piece, Component, Store, Order","Lines [Name], Piece [Reference, Type, Price], Component [Code, Price, Type], Store [Address, Fax], Order [Number, Date]","Factory and Lines, Lines and Piece, Piece and Component, Store and Order, Order and Piece"
"This an information system that provides basic information about customers and delivery services. Each customer has a VAT number, a name, a phone number, and an address. There are no two customers with the same VAT number. When a customer wants to send a package to another customer, he just has to login to the company website, select the customer he wants to send the package to, enter the package’s weight and type, if the delivery is normal or urgent. He then receives a unique identifier code that he writes on the package. The package is then delivered by the customer at the delivery centre of his choosing. A delivery centre has a unique name and an address. Each customer has an associated delivery centre. This delivery centre is chosen by the company, and it is normally the one closest to the customer’s house. The package is them routed through an internal system until it reaches the delivery centre of the recipient. The package is then delivered by hand from that delivery centre to the recipient by a courier. Couriers have a single VAT number, a name, and a phone number. Each courier works in a single delivery centre. A courier is assigned to a packet as soon as the packet is introduced in the system.","Customer, Package, Centre, Courier","Customer [VAT, Name, Phone, Address], Package [Weight, Type, Code], Centre [Name, Address], Courier [VAT, Name, Phone]","Customer and Package, Customer and Centre, Package and Centre, Package and Courier"
"Online factory information system has the following requirements. A factory has several machines. For each machine, has serial_number, make, model and purchase date. Each one of them is operated by several workers. A worker might work in more than one machine. Each worker has name, birthdate, address and a list of his skills. In this factory, products are of different type and weight. Each different type of product is produced in a single machine. But the same machine can produce more than one type of product. Products from the same type are all produced from the same single material and have the same weight. Clients can issue purchase orders. Each order has a list of the desired products and their quantity. Each client has a name, address, phone number and name of the contact person (if any). Each purchase order has order number, date it has been made, expected date and actual delivery date.","Factory, Machine, Worker, Product, Material, Client, Order","Machine [Serial_Number, Make, Model, Date], Worker [Name, BirthDate, Address, Skills], Product [Type, Weight], Material [Name], Client [Name, Address, Phone, Contact], Order [Number, Date, Expected, Actual]","Factory and Machine, Machine and Worker, Machine and Product, Product and Material, Client and Order"
"A bicycle renting company wants to create an information system that allows it to store the data regarding all their reservations and rentals with the following requirements: For each client, the following data should be recorded; national id number (NIN), tax identification number (TIN), name and address. The NIN and TIN must be different for every client and all clients should have at least a TIN and a name. The information about the bicycle models that can be rented- Each model has a unique name, a type and the number of gears. Each bicycle has an identification number and a model. There are several different stores where bicycles can be picked up and returned. Each store has a unique name and has an address. When a reservation is made, the pick-up day, bike model, and which store to pick-up the bike need to be specified. When a bike is picked up, the actual bike that was picked up must be stored in the database. When a bike is returned, the return date should be stored in the database.","Client, Model, Bicycle, Store, Reservation","Client [NIN, TIN, Name, Address], Model [Name, Type, Gears], Bicycle [Number, Model], Store [Name, Address], Reservation [Pick-up, Return]","Client and Reservation, Model and Bicycle, Store and Reservation, Bicycle and Reservation"
"The specification for a seminar management system is given as follows: A professor has a name, address, phone number, email address, and salary. Each student has a name, address, phone number, email address, and an average mark (of the final marks of his or her seminars). A seminar has a name, a number, fee and seminar type. When a student is enrolled in a seminar, the marks for this enrolment are recorded and the current average as well as the final mark (if there is one) can be obtained from the enrolment. From a student one can obtain a list of seminars he or she is enrolled in. Professors teach seminars. Each seminar has at least one and at most three teachers. There are two types of seminars: bachelor and master. From a bachelor seminar students can not withdraw. From a master seminar they can.","Professor, Student, Seminar","Professor [Name, Address, Phone, Email, Salary], Student [Name, Address, Phone, Email, Mark], Seminar [Name, Number, Fee, Type]","Student and Seminar, Seminar and Professor, Seminar and Student"
"The task at hand is to design and implement an efficient database system for a small online bookstore specializing in selling various genres of books, including fiction, non-fiction, and textbooks. The system should facilitate inventory management, order processing, customer interactions, and author information storage. Each book in the inventory must be uniquely identified by its International Standard Book Number (ISBN) and store details like title, author, genre, publication year, price, and quantity in stock. Books are published by a publisher, and each publisher has a name, contact information and a physical address. An Author should be assigned unique author ID and have their name, biography (optional), and contact information (e.g., email, phone number) stored in the system. For customer management, a customer should be assigned unique customer ID, and their information, including name, shipping address, billing address, email, and phone number, should be recorded. Orders, a central part of the system, each order require a unique order ID, order date and time, and status (e.g., In Progress, Shipped, Delivered). Furthermore, each order may comprise multiple books with associated quantities and subtotals. The system allows a customer to place order.","Book, Author, Publisher, Customer, Order","Book [ISBN, Title, Author, Genre, Year, Price, Quantity], Author [ID, Name, Biography, Contact], Publisher [Name, Contact, Address], Customer [ID, Name, Address, Billing, Email, Phone], Order [ID, Date, Time, Status]","Author and Book, Publisher and Book, Customer and Order, Book and Order"
"An online marketplace needs a good database system to effectively manage its extensive product inventory. Each product in the catalogue must be accurately recorded with a unique product ID, a comprehensive name, detailed description, price information, and current quantity in stock. The system also keeps comprehensive supplier details, including supplier ID, name, address, and contact information. Customers are essential entities within this system, each customer having their own user ID, name, address, and contact information. Customer can place an order, and the order has number, date and time. Additionally, the system must offer personalized product recommendations to customers based on their past purchase behaviours.","Product, Supplier, Customer, Order, Recommendation","Product [ID, Name, Description, Price, Quantity], Supplier [ID, Name, Address, Contact], Customer [ID, Name, Address, Contact], Order [Number, Date, Time]","Product and Supplier, Customer and Order, Customer and Recommendation"
"A cutting-edge hospital is seeking to implement an electronic health record system to maintain exhaustive patient records. The system should identify each patient with an ID and keep track biodata information, medical history, diagnoses, treatment plans, and appointments schedules. Physicians are another vital component, each physician characterized by their physician ID, name, and contact details. Appointment should contain detailed information including appointment ID, date, and time. Physician is responsible for an appointment, while a patient attends an appointment.","Patient, Physician, Appointment","Patient [ID, Biodata , History, Diagnoses, Treatment, Appointments], Physician [ID, Name, Contact], Appointment [ID, Date, Time]","Patient and Appointment, Physician and Appointment"
"A renowned airline desires a feature-rich flight booking system to optimize flight reservations and passenger management. For each flight, there should be flight number, departure and arrival times, and seat availability. Reservations should be associated with passenger and flight, each reservation identified by reservation ID and containing details like check-in and check-out dates, and passenger profile. Furthermore, passenger should have their own profiles with passenger ID, name, contact information, and order history. The system should empower passengers to search for available flights, book tickets, select preferred seats, and complete secure payments. The system should also facilitate reservation management and provide ticket modification capabilities.","Flight, Reservation, Passenger","Flight [Number, Departure, Arrival, Seat], Reservation [ID, Check-in, Check-out, profile], Passenger [ID, Name, Contact, Order]","Flight and Reservation, Passenger and Reservation"
"A thriving social media platform is keen on establishing a comprehensive database system to enhance user interactions, facilitate content sharing, and offer real-time updates. Each user should have detailed profile with user ID, username, and profile picture, and customizable settings. The core of the system revolves around post, each post with unique post ID, content, and timestamp. Each post is associated with a user. Posts should be open to interactions from other users in the form of comments and likes. Comment should be basically linked to post and user, featuring comment ID, content, and timestamp. Like should also be tied to a post and user to capture user preferences. Like should have an ID that uniquely identifies it.","User, Post, Comment, Like","User [ID, Username, Picture, Settings], Post [ID, Content, Timestamp], Comment [ID, Content, Timestamp], Like [ID]","User and Post, Post and Comment, User and Comment, User and Like, Post and Like"
"A prestigious weather research institute is in pursuit of a comprehensive weather data archive system to systematically collect, store, and analyse historical weather data. The system should accommodate various aspects, including Locations, Weather Data, Sensors, and Forecasts. Location should have location ID, coordinate, name, and detailed geographical descriptions. On the other hand, weather data should provide meticulous accounts of temperature, humidity, wind speed, precipitation, and timestamp. These records should be linked to specific locations and sensor readings, facilitating comprehensive historical weather analysis. Sensors are integral aspects, each sensor identified by sensor ID, name, type, and calibration details. The system should be designed to offer extensive capabilities for retrieving historical weather data, fostering research endeavours, and supporting forecasting initiatives. Each forecast is identified by an ID and have a forecast data and timestamp.","Location, Weather, Sensor, Forecast","Location [ID, Coordinate, Name, Descriptions], Weather [Temperature, Humidity, Wind, Precipitation, Timestamp], Sensor [ID, Name, Type, Calibration], Forecast [ID, Data, Timestamp]","Location and Weather, Sensor and Weather, Location and Sensor, Location and Forecast"
"A prominent car rental agency is in the market for an advanced car rental system to efficiently manage its vehicle fleet and streamline rental operations. The system should encompass various aspects, including Vehicles, Rental Transactions, Customers, and Maintenance Records. Each vehicle in the rental fleet should have a comprehensive profile featuring vehicle ID, make, model, rental rates, status of the vehicle, and a maintenance schedule. Rental transactions are at the heart of the system, each transaction marked by unique transaction ID, and rental duration. In every transaction, references are made to the customer that made the transaction and vehicle involved. Each customer have their own profiles enriched with customer ID, name, contact information, and detailed rental history. Moreover, it should integrate maintenance records which include maintenance ID, date, type of maintenance and description of maintenance.","Vehicle, Transaction, Customer, Maintenance","Vehicle [ID, Make, Model, Rates, Status, Schedule], Transaction [ID, Duration], Customer [ID, Name, Contact, History], Maintenance [ID, Date, Type, Description]","Vehicle and Transaction, Customer and Transaction, Vehicle and Maintenance"
"An extensive movie database is sought after to comprehensively catalogue movies, actors, directors, and user-generated reviews. The system should include the following requirements: Each movie should be recorded with movie ID, title, genre, release year, description, length, and rating. The movie database should also offer a rich catalogue of actor profiles, each featuring actor ID, name, birthdate, biography information, and filmography. Each director have a profile consisting of director ID, name, and filmography details. Users should have their own profiles, enriched with user ID, username, and comprehensive movie-related interactions, which include rating and reviews. They also have a studio that produces the movie. Each studio is identified by their name and have an address. They produce one or more movies. Movies are directed by one or more directors and have one or more actors acting in them. The system should offer users a versatile search functionality, allowing them to explore movies based on genre, release year, and actor. Users should be empowered to rate and review films, and the system should effectively aggregate these user-generated reviews to provide valuable insights to other users. The system should strive to be a comprehensive resource for movie enthusiasts, offering an extensive catalogue of cinematic content, actor profiles, and directorial works.","Movie, Actor, Director, User, Studio","Movie [ID, Title, Genre, Year, Description, Length, Rating], Actor [ID, Name, Birthdate, Biography, Filmography], Director [ID, Name, Filmography], User [ID, Username, Ratings, Reviews], Studio [Name, Address], Review [Text]","Movie and Actor, Movie and Director, Movie and Studio, User and Review, User and Studio, Movie and Review"
"An online auction platform desires a robust database system to facilitate auctions, bids, and user interactions. The system comprises the following requirements: Each auction should have a unique auction number, start time, and end time. Additionally, every auction has a reference to items being auctioned and detailed bidding rules. Bids are associated with user, auction, and item, capturing data related to the bid such as bid ID, bid amount, and timestamp. A user usually made bid offers. Each should have their own profile, featuring user ID, username, and comprehensive user profile, complete with bidding history. Item being auctioned should also be catalogued, with item ID, name, description, current bidding status and references to seller. A crucial system feature is the ability for users to place bids on items, with auctions featuring automated bid increments and well-defined closing rules. Seller should have a Seller ID, name and should streamlined experience listing items for auction, monitoring ongoing auctions, and managing their listings.","Auction, Bid, User, Item, Seller","Auction [Number, Start, End], Bid [ID, Amount, Timestamp], User [ID, Username, Profile, History], Item [ID, Name, Description, Status], Seller [ID, name]","Auction and Item, Auction and Seller, Bid and User, Bid and Auction, Bid and Item, User and Seller"
"Create a domain model in the form of a class diagram based on the following description. Model only things that are specifically described. Do not model “the system.” A company requires a payroll system. The company has three types of employees, namely, a manager, a commission worker, and an hourly worker. Information that needs to be stored for each employee is the employee’s name, surname, earnings and employee number. Additional information that must be stored for a manager is monthly fixed salary; for a commission worker flat remuneration, sales percent and the sales made for the month; for an hourly worker the number of hours worked and the wage per piece. All employees get a medical aid contribution. In addition to this manager get a pension as a fringe benefit. Each medical aid instance specifies the medical aid number, dependents, employee contribution and company contribution, while each pension instance specifies the pension number, beneficiaries, amount and date of retirement.","Employee, Manager, Commission Worker, HourlyWorker, Medical Aid, Pension","Employee [Name, Surname, Earnings, Number], Manager [Salary], CommissionWorker [Remuneration, Percent, Sales], HourlyWorker [Hours, Wage], MedicalAid [Number, Dependents, Contribution], Pension [Number, Beneficiaries, Amount, Retirement]","Employee and Manager, Employee and CommissionWorker, Employee and HourlyWorker, Manager and Pension, Employee and MedicalAid, Manager and MedicalAid, CommissionWorker and MedicalAid, HourlyWorker and MedicalAid"
"Draw a domain model in the form of a class diagram based on the following description. Model only things that are specifically described. Do not model “the system.” A system is needed for managing rental properties. Each rental property has a monthly rent price and square footage. Each rental is owned by a landlord with a name, a telephone number, and an address. There are two types of rentals: home and business. Home rentals have a number of bedrooms and a number of bathrooms. Business rentals have a number of offices and a maximum occupancy. A rental may adjoin a number of other rental properties (like apartments in the same complex). If a rental property is currently rented, it will have an associated lease with the name of the renter, the renter’s phone number, a start date, and an end date.","Property, Landlord, Home, Business, Lease","Property [Price, Footage], Landlord [Name, Telephone, Address], Home [Bedrooms, Bathrooms], Business [Offices, Occupancy], Lease [Renter, Phone, StartDate, EndDate]","Property and Landlord, Property and Home, Property and Business, Home and Business, Property and Lease"
"A real estate agency aims to implement a comprehensive real estate listing with the following requirements: Properties must be thoroughly catalogued, with property details encompassing property ID, type, location, description, and price. A property should have reference to the seller. Agent, the backbone of the real estate agency, should have profiles enriched with agent ID, name, contact information, and property listings. Users are central to the real estate process, and each user should possess a user profile featuring user ID, name, contact information, and inquiries regarding property listings. Listings are the core aspects within the system, each listing featuring listing ID, listing date, references to properties being listed, and references to the agent responsible for the listing. A crucial system feature is the ability for users to search for properties based on location and features, helping them find the ideal property. Users should also have the capability to schedule property viewings and submit inquiries directly to real estate agents. The system should facilitate property transactions, including offer submissions, negotiations, and closing processes. Transaction records should include transaction ID, transaction date, and audit trail of real estate transactions. Every transaction has references to the property and user involved in the transaction. The system should provide real-time updates on property availability, status changes, and transaction progress, ensuring a seamless and transparent real estate experience.","Property, Agent, User, Listing, Transaction","Property [ID, Type, Location, Description, Price], Agent [ID, Name, Contact, Listings], User [ID, Name, Contact, Inquiries], Listing [ID, Date], Transaction [ID, Date, audit]","Property and Listing, Agent and Listing, User and Property, User and Transaction, Agent and Transaction"
